Date,Country,City,Specie,min,max,median,variance
1/15/20,CN,Wuhan,no2,5.1,38.4,15.6,254.87
3/24/20,CN,Wuhan,no2,3.2,22.9,9.6,103.51
1/24/20,CN,Wuhan,no2,1.9,22,5.5,98.6
3/12/20,CN,Wuhan,no2,3.2,29.3,11.5,222.93
3/23/20,CN,Wuhan,no2,1.4,32,8.3,207.75
2/16/20,CN,Wuhan,no2,0.5,16.5,4.2,50.07
3/7/20,CN,Wuhan,no2,1,23.8,7.4,151.93
3/14/20,CN,Wuhan,no2,1.9,33.9,6.9,106.14
3/20/20,CN,Wuhan,no2,1.9,37.5,9.2,357.41
1/9/20,CN,Wuhan,no2,2.8,26.1,14.2,277.15
2/1/20,CN,Wuhan,no2,2.8,52.5,12.4,505.55
2/3/20,CN,Wuhan,no2,2.8,55.2,8.7,445.84
2/28/20,CN,Wuhan,no2,1.4,16,5.5,55.89
1/1/20,CN,Wuhan,no2,6.9,34.8,25.6,289.22
1/13/20,CN,Wuhan,no2,4.2,44.4,20.2,667.19
1/27/20,CN,Wuhan,no2,1.4,21.5,4.2,51.72
2/19/20,IT,Milan,no2,38,80.9,41.6,2976.63
2/29/20,IT,Milan,no2,31.1,41.6,33,211.63
3/9/20,IT,Milan,no2,33,40.7,34.8,88.34
3/15/20,IT,Milan,no2,22.9,24.3,23.4,3.66
3/17/20,IT,Milan,no2,26.6,35.7,33.4,151.37
1/26/20,IT,Milan,no2,30.2,44.8,33.9,303.89
2/11/20,IT,Milan,no2,36.2,43.9,39.8,76.02
1/22/20,IT,Milan,no2,34.8,53.6,39.4,600.53
1/30/20,IT,Milan,no2,33.9,49.9,43.9,336.47
3/5/20,IT,Milan,no2,29.3,36.6,31.6,74.1
3/22/20,IT,Milan,no2,6,13.8,8.3,81.21
3/23/20,IT,Milan,no2,16.5,20.6,16.5,28.72
12/30/19,IT,Milan,no2,22,32,22.9,154.63
1/20/20,IT,Milan,no2,32.5,102.5,43,7311.79
2/3/20,IT,Milan,no2,29.8,47.6,37.5,482.7
2/16/20,IT,Milan,no2,33,46.2,37.5,284.84
2/20/20,IT,Milan,no2,39.4,54.1,41.2,449.15
3/13/20,IT,Milan,no2,19.7,34.8,23.4,381.95
1/13/20,IT,Milan,no2,32,48,39.8,368.31
1/14/20,IT,Milan,no2,33.9,48.5,48.5,403.88
1/18/20,IT,Milan,no2,31.1,41.6,33,158.52
1/25/20,IT,Milan,no2,32,45.3,40.3,279.26
2/23/20,IT,Milan,no2,33.4,49.4,34.8,456.15
3/14/20,IT,Milan,no2,14.7,25.2,15.1,255.68
3/28/20,IT,Milan,no2,22,32.5,25.2,166.15
4/2/20,IT,Milan,no2,28.4,38.9,29.3,183.94
12/31/19,IT,Milan,no2,29.8,38,31.1,104.51
1/9/20,IT,Milan,no2,39.4,57.3,49.4,441.62
3/18/20,IT,Milan,no2,36.6,38.4,36.6,7.3
3/19/20,IT,Milan,no2,35.2,39.4,39.4,39.75
3/20/20,IT,Milan,no2,19.2,35.7,29.8,445.16
1/4/20,IT,Milan,no2,32,42.5,33.4,164.36
2/4/20,IT,Milan,no2,17.4,30.7,22.4,236.38
2/24/20,IT,Milan,no2,22,40.3,30.7,557.05
2/28/20,IT,Milan,no2,36.6,51.4,39.8,409.96
3/27/20,IT,Milan,no2,19.7,27,20.6,80.05
1/3/20,IT,Milan,no2,33.9,50.9,47.6,446.72
2/17/20,IT,Milan,no2,31.1,43,35.2,254.38
2/5/20,IT,Milan,no2,27.9,43.5,31.1,344.15
2/8/20,IT,Milan,no2,36.6,47.6,41.2,190.89
2/25/20,IT,Milan,no2,32.5,47.6,35.2,331.17
2/26/20,IT,Milan,no2,24.3,39.4,26.6,350.37
3/16/20,IT,Milan,no2,16.5,33.4,26.1,460.31
3/24/20,IT,Milan,no2,24.3,30.7,25.2,61.76
1/1/20,IT,Milan,no2,32.5,38.4,34.8,51.28
2/1/20,IT,Milan,no2,26.6,39.4,33,216.13
1/24/20,IT,Milan,no2,54.7,61.6,55.2,82.12
1/27/20,IT,Milan,no2,46.7,64.9,57.9,510.89
3/10/20,IT,Milan,no2,27.9,45.7,39.4,424.74
3/29/20,IT,Milan,no2,19.2,22.9,20.6,17.81
4/3/20,IT,Milan,no2,35.7,38,36.6,6.84
1/8/20,IT,Milan,no2,24.7,46.7,33.4,621.39
1/23/20,IT,Milan,no2,36.6,64.3,48.9,991.07
1/21/20,IT,Milan,no2,41.2,61.6,44.4,656.2
2/14/20,IT,Milan,no2,38.4,52,42.1,252.25
3/26/20,IT,Milan,no2,15.6,23.4,18.8,78.03
1/11/20,IT,Milan,no2,47.6,55.2,51.4,72.96
1/19/20,IT,Milan,no2,31.1,36.6,36.2,52.16
3/8/20,IT,Milan,no2,30.7,42.5,37.1,205.62
3/30/20,IT,Milan,no2,16.5,22.4,17.4,61.36
1/28/20,IT,Milan,no2,30.2,40.3,32,180.6
3/4/20,IT,Milan,no2,34.3,44.4,41.2,139.67
1/16/20,IT,Milan,no2,35.7,46.7,41.2,153.14
2/2/20,IT,Milan,no2,19.7,35.7,25.2,333.93
2/10/20,IT,Milan,no2,33,76.1,35.2,2978.96
2/15/20,IT,Milan,no2,31.1,43.9,35.7,263.65
1/2/20,IT,Milan,no2,28.8,42.5,33.9,244.67
1/7/20,IT,Milan,no2,27,44.8,31.6,438.69
1/15/20,IT,Milan,no2,29.3,40.3,29.8,199.4
3/6/20,IT,Milan,no2,30.2,43.5,32,269.42
4/4/20,IT,Milan,no2,27.5,35.7,28.8,98.14
3/7/20,IT,Milan,no2,26.6,38.4,36.2,233.43
3/31/20,IT,Milan,no2,11.9,23.4,12.8,296.01
1/29/20,IT,Milan,no2,40.3,46.2,43.9,51.05
2/9/20,IT,Milan,no2,34.8,48,41.2,237.98
2/13/20,IT,Milan,no2,33.9,58.4,35.2,1320.99
2/27/20,IT,Milan,no2,11,47.6,31.6,1761.11
3/21/20,IT,Milan,no2,23.4,26.6,23.8,17.25
3/25/20,IT,Milan,no2,17,27.5,17.4,204.35
1/6/20,IT,Milan,no2,25.2,35.7,28.8,149.32
1/10/20,IT,Milan,no2,34.3,52,47.1,477.95
1/31/20,IT,Milan,no2,39.4,46.2,44.8,71.51
2/12/20,IT,Milan,no2,44.8,55.7,51.4,158.9
2/18/20,IT,Milan,no2,32,43.9,32.5,235.27
2/21/20,IT,Milan,no2,36.2,50.9,39.8,333.32
2/22/20,IT,Milan,no2,34.3,51.4,39.4,516.81
3/3/20,IT,Milan,no2,28.4,39.4,32.5,208.92
1/12/20,IT,Milan,no2,33.4,44.8,41.2,218.96
1/17/20,IT,Milan,no2,41.6,57.3,48.5,410.19
3/11/20,IT,Milan,no2,34.8,43.9,34.8,146.8
4/5/20,IT,Milan,no2,16,25.6,17,145.38
2/7/20,IT,Milan,no2,47.1,55.7,48.9,136.32
3/12/20,IT,Milan,no2,30.2,36.2,30.7,56.03
4/1/20,IT,Milan,no2,20.2,28.4,22.4,95.47
1/5/20,IT,Milan,no2,36.6,46.7,42.5,134.72
2/6/20,IT,Milan,no2,36.2,53.6,41.2,457.38
1/26/20,GB,London,no2,2.5,57.2,11.1,616.61
1/30/20,GB,London,no2,2.3,47.6,14.1,795.87
2/10/20,GB,London,no2,0.3,56.8,9.4,753.18
2/17/20,GB,London,no2,0.2,49,9.8,829.26
3/27/20,GB,London,no2,2.2,37.1,8.4,254.23
1/5/20,GB,London,no2,1.7,43.8,12.2,657.15
1/19/20,GB,London,no2,4.5,48.5,23.9,869.57
2/22/20,GB,London,no2,0.7,36,6.2,514.52
2/28/20,GB,London,no2,2.2,52.1,15.8,863.88
3/5/20,GB,London,no2,1.4,43.1,11.7,442.18
3/8/20,GB,London,no2,0.3,44.7,7.1,660.45
3/31/20,GB,London,no2,1.3,32,8.5,310.1
2/18/20,GB,London,no2,1,52.6,11.9,921.63
2/21/20,GB,London,no2,0.1,49.9,9.7,785.1
2/4/20,GB,London,no2,1.1,42.5,15.5,730.88
2/23/20,GB,London,no2,0.6,46.7,7.1,894.25
3/4/20,GB,London,no2,4.5,60.5,22.8,1063.86
1/23/20,GB,London,no2,6.8,82.7,22.9,537.21
1/27/20,GB,London,no2,0.4,61.6,17.6,1432.86
1/28/20,GB,London,no2,0.6,54.5,14.6,1012.17
2/7/20,GB,London,no2,4.3,63.1,22.6,666.35
2/13/20,GB,London,no2,0.4,55.3,14.8,1112.02
2/27/20,GB,London,no2,2.7,50.8,18.4,878.1
3/25/20,GB,London,no2,3.7,68.4,20.3,798.44
4/4/20,GB,London,no2,0.9,39.8,11.5,622.38
1/11/20,GB,London,no2,1.1,34.3,7.8,348.38
1/14/20,GB,London,no2,0.5,44.4,7.4,761.26
2/20/20,GB,London,no2,1.3,42,10.9,831.78
2/24/20,GB,London,no2,2.1,46.2,9.6,605.44
4/5/20,GB,London,no2,1,28.7,7.1,196.08
1/8/20,GB,London,no2,0.4,54.1,17.6,1240.95
1/24/20,GB,London,no2,5.5,76.2,23.7,923.93
2/1/20,GB,London,no2,0.7,41.9,8.9,517.04
2/3/20,GB,London,no2,0.1,42.6,13.3,874.45
3/10/20,GB,London,no2,0.2,42.8,8.2,585
3/30/20,GB,London,no2,1.3,29.6,6.6,222.96
12/30/19,GB,London,no2,0.5,41.5,18.9,340.53
12/31/19,GB,London,no2,7.6,33.3,17.7,147.46
2/6/20,GB,London,no2,7.9,69.7,31.5,893.48
2/9/20,GB,London,no2,0.1,25,3.8,165.34
2/16/20,GB,London,no2,0.3,44.3,6,600.34
3/3/20,GB,London,no2,2.1,54.4,27.8,1442.55
3/12/20,GB,London,no2,0.2,49.5,9,752.82
3/18/20,GB,London,no2,1.3,41.6,10.6,543.76
1/4/20,GB,London,no2,3.3,43.8,18.2,868.09
1/25/20,GB,London,no2,3.9,44.9,15.8,531.24
3/9/20,GB,London,no2,0.6,60.3,11.7,1026
3/26/20,GB,London,no2,0.1,34.4,13.3,322.54
1/17/20,GB,London,no2,0.8,51.1,15.4,1064.21
2/11/20,GB,London,no2,0.2,47.9,10.4,753.03
2/15/20,GB,London,no2,1.3,34.9,5.2,290.67
3/11/20,GB,London,no2,0.8,64.3,9.4,1006.72
3/29/20,GB,London,no2,0.7,11.7,3.2,36.63
4/1/20,GB,London,no2,1.8,43.9,14.3,564.55
1/1/20,GB,London,no2,4.6,41.2,19.9,280.18
2/12/20,GB,London,no2,1.1,61.3,14.9,1358.79
1/13/20,GB,London,no2,0.8,54.9,9.4,700.65
1/29/20,GB,London,no2,1.9,60.5,15.5,1058.74
2/14/20,GB,London,no2,1.8,61.5,16.9,1171.05
3/6/20,GB,London,no2,0.5,68.9,20.3,2066.75
4/3/20,GB,London,no2,0.1,46.3,13.7,974.82
1/10/20,GB,London,no2,2,50.7,17.6,1119.86
1/12/20,GB,London,no2,0.5,38.2,7.5,667.31
2/8/20,GB,London,no2,1.8,43.2,11.9,770.36
2/19/20,GB,London,no2,0.4,53.7,15.6,1121.06
3/21/20,GB,London,no2,1.3,25.7,7.1,207.01
3/24/20,GB,London,no2,2.4,45.1,15.5,673.51
3/28/20,GB,London,no2,1.3,13.1,4.5,50.91
1/7/20,GB,London,no2,1.5,42.9,12.9,652.92
2/2/20,GB,London,no2,1.1,41.6,9.7,466.27
1/18/20,GB,London,no2,3.5,51.5,22.2,846.83
1/21/20,GB,London,no2,8.3,94,35.3,947.7
2/5/20,GB,London,no2,5.8,64.1,29.8,1062.57
2/25/20,GB,London,no2,1.5,59.9,11.8,907.23
2/26/20,GB,London,no2,0.9,56.5,16.7,1025.17
3/2/20,GB,London,no2,2.1,54.4,15.8,944.91
1/15/20,GB,London,no2,0.2,53,16.2,1283.17
1/16/20,GB,London,no2,0.7,41.5,11.4,659.16
3/7/20,GB,London,no2,0.6,53,15.6,1081.58
1/9/20,GB,London,no2,0.5,52.5,10.4,801.84
1/20/20,GB,London,no2,13.8,60,34.6,662.26
3/14/20,GB,London,no2,0.9,48.6,9.3,591.76
3/20/20,GB,London,no2,1.4,28.9,7.2,208.25
1/2/20,GB,London,no2,2.1,35.8,10.8,448.16
1/6/20,GB,London,no2,1.1,39.1,12.3,751.29
3/15/20,GB,London,no2,0.5,46.5,7.8,838.61
3/16/20,GB,London,no2,2,58,19.2,825.87
3/17/20,GB,London,no2,2.1,53.4,11.5,606.55
3/23/20,GB,London,no2,5.8,54.5,15.5,830.17
4/2/20,GB,London,no2,0.1,48,9.9,551.72
1/31/20,GB,London,no2,0.3,40.2,10.8,592.19
3/13/20,GB,London,no2,0.8,58.1,13.9,1033.97
2/29/20,GB,London,no2,0.3,45.3,7.2,582.45
3/1/20,GB,London,no2,0.3,45.7,7.5,602.16
3/19/20,GB,London,no2,0.8,42.7,11.7,516.98
3/22/20,GB,London,no2,2.2,51.7,8.1,194.54
1/3/20,GB,London,no2,1.1,46.8,15.3,1023.77
1/22/20,GB,London,no2,12.1,54.7,25.3,419.4
1/31/20,BR,Sao Paulo,no2,1,31.1,11.5,340.4
2/15/20,BR,Sao Paulo,no2,0.5,36.2,11,451.98
2/28/20,BR,Sao Paulo,no2,0.5,31.6,11,365.88
1/11/20,BR,Sao Paulo,no2,0.5,42.5,10.6,666.09
1/30/20,BR,Sao Paulo,no2,1,39.8,11,501.89
2/8/20,BR,Sao Paulo,no2,1,33,10.6,548.76
2/25/20,BR,Sao Paulo,no2,1,37.1,7.4,343.09
3/2/20,BR,Sao Paulo,no2,1,34.3,7.8,508.86
3/5/20,BR,Sao Paulo,no2,1.4,28.4,9.6,277.59
3/15/20,BR,Sao Paulo,no2,0.5,38.9,8.3,405.55
1/3/20,BR,Sao Paulo,no2,0.5,33,6.4,337.92
1/12/20,BR,Sao Paulo,no2,0.5,23.4,5.5,165.08
2/16/20,BR,Sao Paulo,no2,0.5,41.2,10.6,719.98
2/19/20,BR,Sao Paulo,no2,1,43,17,1002.23
2/24/20,BR,Sao Paulo,no2,1.4,44.4,10.6,485.38
3/1/20,BR,Sao Paulo,no2,1,21.5,4.2,184.04
3/8/20,BR,Sao Paulo,no2,2.3,46.2,7.8,459.2
3/31/20,BR,Sao Paulo,no2,1.9,26.1,8.3,245.03
1/8/20,BR,Sao Paulo,no2,1,38.9,11.9,434.92
4/3/20,BR,Sao Paulo,no2,1,36.2,11.5,555.97
1/18/20,BR,Sao Paulo,no2,0.5,29.3,6,188.86
1/19/20,BR,Sao Paulo,no2,1.4,31.6,5.5,197.56
2/1/20,BR,Sao Paulo,no2,1,25.2,10.6,269.64
2/20/20,BR,Sao Paulo,no2,1,44.4,18.8,756.91
2/23/20,BR,Sao Paulo,no2,0.5,22.4,4.2,131.78
3/21/20,BR,Sao Paulo,no2,1,27.9,6.4,335.18
1/17/20,BR,Sao Paulo,no2,0.5,29.8,7.4,355.42
2/11/20,BR,Sao Paulo,no2,0.5,29.8,8.3,359.13
3/30/20,BR,Sao Paulo,no2,1.4,28.4,7.4,357.67
1/26/20,BR,Sao Paulo,no2,0.5,33.4,11,487.7
1/5/20,BR,Sao Paulo,no2,0.5,32.5,7.8,260.96
1/13/20,BR,Sao Paulo,no2,0.5,26.1,6.4,228.13
1/27/20,BR,Sao Paulo,no2,0.5,63.8,20.2,1187.86
1/28/20,BR,Sao Paulo,no2,1.4,63.8,19.7,1535.95
2/5/20,BR,Sao Paulo,no2,1,44.8,14.2,621.79
2/17/20,BR,Sao Paulo,no2,0.5,54.1,14.2,1255.28
2/27/20,BR,Sao Paulo,no2,1,32.5,8.7,390.85
1/1/20,BR,Sao Paulo,no2,0.5,26.6,7.4,418.08
3/14/20,BR,Sao Paulo,no2,1.4,70.2,9.6,695.31
3/16/20,BR,Sao Paulo,no2,1.4,39.8,13.8,670.42
3/20/20,BR,Sao Paulo,no2,2.8,37.5,13.8,532.15
3/4/20,BR,Sao Paulo,no2,2.3,35.7,10.1,307.56
3/7/20,BR,Sao Paulo,no2,1.9,43.9,7.4,415.73
3/12/20,BR,Sao Paulo,no2,2.3,61.6,12.8,785.49
3/26/20,BR,Sao Paulo,no2,2.3,100.2,8.7,1827.72
4/2/20,BR,Sao Paulo,no2,1.4,42.5,9.2,693.29
2/9/20,BR,Sao Paulo,no2,0.5,32,6.4,453.04
