"","Super.region","Regions","location","Area","Longitude","Latitude","NO2_Concentration","iso.code","continent","date","totcases","totdeaths","totcases.mil","totdeaths.mil","population","pop.density","med.age","older70","gdp.cap","card.death","diab.prev","fem.smokers","male.smokers","case.fatality.rate","pop.weighted.NO2"
"62","Latin America and Caribbean","Tropical Latin America","Paraguay",39730,-58.391,-23.236,1.44293790615912e-05,"PRY","South America",2021-06-28,419764,12641,58852.048,1772.302,7132530,17.144,26.5,3.833,8827.01,199.128,8.27,5,21.6,0.0301145405513574,1.26421452093015e-09
"63","Latin America and Caribbean","Andean Latin America","Bolivia",108438,-64.671,-16.715,1.14718620820712e-05,"BOL","South America",2021-06-28,435568,16631,37314.051,1424.737,11673029,10.202,25.4,4.393,6885.829,204.299,6.89,NA,NA,0.0381823274437057,8.11874983693833e-10
"64","Latin America and Caribbean","Andean Latin America","Ecuador",27684,-78.497,-1.385,1.13874132683757e-05,"ECU","South America",2021-06-28,455743,21523,25831.29,1219.913,17643060,66.939,28.1,4.458,10581.936,140.448,5.55,2,12.3,0.0472261779116739,1.12800849384254e-09
"65","Latin America and Caribbean","Andean Latin America","Peru",128000,-75.552,-9.326,8.52502589128472e-06,"PER","South America",2021-06-28,2048115,191899,62117.086,5820.087,32971846,25.129,29.1,4.455,12236.706,85.755,5.95,4.8,NA,0.0936954223761849,8.52189930871578e-10
"66","Sub-Saharan Africa","Central sub-Saharan Africa","Angola",124670,17.544,-12.296,2.35199098380236e-05,"AGO","Africa",2021-06-28,38613,891,1174.852,27.11,32866268,23.89,16.8,1.362,5819.495,276.045,3.94,NA,NA,0.0230751301375185,2.43712709064114e-09
"67","Sub-Saharan Africa","Central sub-Saharan Africa","Central African Republic",62298,20.483,6.571,2.28126409795855e-05,"CAF","Africa",2021-06-28,7141,98,1478.54,20.291,4829764,7.479,18.3,2.251,661.24,435.727,6.1,NA,NA,0.0137235681277132,2.30562958071143e-09
"68","Sub-Saharan Africa","Central sub-Saharan Africa","Congo",34150,15.986,-0.055,2.22190158059714e-05,"COG","Africa",2021-06-28,12485,165,2262.557,29.902,5518092,15.405,19,2.063,4881.406,344.094,7.2,1.7,52.3,0.013215859030837,1.14250138860777e-09
"69","Sub-Saharan Africa","Central sub-Saharan Africa","Democratic Republic of Congo",226705,23.654,-2.876,2.24629857276788e-05,"COD","Africa",2021-06-28,40439,916,451.523,10.228,89561404,35.879,17,1.745,808.133,318.949,6.1,NA,NA,0.0226514008753926,2.62792206458591e-09
"70","Sub-Saharan Africa","Central sub-Saharan Africa","Equatorial Guinea",2805,10.488,1.607,1.99175080861215e-05,"GNQ","Africa",2021-06-28,8723,121,6217.458,86.245,1402985,45.194,22.4,1.752,22604.873,202.812,7.78,NA,NA,0.0138713745271122,1.17616010029617e-09
"71","Sub-Saharan Africa","Central sub-Saharan Africa","Gabon",25767,11.797,-0.591,1.81311497426247e-05,"GAB","Africa",2021-06-28,24984,159,11225.091,71.437,2225728,7.859,23.1,2.976,16562.413,259.967,7.2,NA,NA,0.0063640730067243,1.36108354888148e-09
"72","Sub-Saharan Africa","Eastern sub-Saharan Africa","Burundi",2568,29.887,-3.356,1.59414410440111e-05,"BDI","Africa",2021-06-28,5423,8,456.068,0.673,11890781,423.062,17.5,1.504,702.225,293.068,6.05,NA,NA,0.00147519822976212,1.36839174765711e-09
"73","Sub-Saharan Africa","Eastern sub-Saharan Africa","Comoros",223,43.337,-11.758,8.89979885150822e-06,"COM","Africa",2021-06-28,3912,146,4498.646,167.894,869595,437.352,20.4,1.726,1413.89,261.516,11.88,4.4,23.6,0.037321063394683,0
"74","Sub-Saharan Africa","Eastern sub-Saharan Africa","Djibouti",2318,42.516,11.9,1.18518168034289e-05,"DJI","Africa",2021-06-28,11601,155,11741.879,156.882,988002,41.285,25.4,2.38,2705.406,258.037,6.05,1.7,24.5,0.0133609171623136,6.46249933616255e-10
"75","Sub-Saharan Africa","Eastern sub-Saharan Africa","Eritrea",10100,38.219,16.045,1.38836739397771e-05,"ERI","Africa",2021-06-28,5884,22,1659.135,6.203,3546427,44.304,19.3,2.171,1510.459,311.11,6.05,0.2,11.4,0.00373895309313392,1.63058282229772e-09
"76","Sub-Saharan Africa","Eastern sub-Saharan Africa","Ethiopia",100000,39.616,8.626,1.09841555973685e-05,"ETH","Africa",2021-06-28,275974,4315,2400.534,37.534,114963583,104.957,19.8,2.063,1729.927,182.634,7.47,0.4,8.5,0.0156355308833441,8.75614146858585e-10
"77","Sub-Saharan Africa","Eastern sub-Saharan Africa","Kenya",56914,37.858,0.53,8.70437096978357e-06,"KEN","Africa",2021-06-28,182884,3612,3401.145,67.173,53771300,87.324,20,1.528,2993.028,218.637,2.92,1.2,20.4,0.0197502241858227,9.75548602388565e-10
